A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,Type
0.176471,0.428571,0.392857,0.461538,0.296296,0.454545,0.391304,0.37037,0.25,0.333333,0.272727,0.354839,0.458333,0.434783,0.307692,0.44,0.473684,0.423077,0.4,0.040816,0.314286,0.44,0.32,0.35,0.423077,0.290323,0.333333,0.727273,0.47619,0.229167,0,0.960666,0.763081,0.589474,0.03861,0.4,0.442731,0.673662,0.397912,0.389331,0.520812,0.389331,0.733264,Jogging
0.176471,0.357143,0.428571,0.423077,0.37037,0.454545,0.434783,0.444444,0.28125,0.25641,0.393939,0.322581,0.416667,0.521739,0.423077,0.32,0.368421,0.346154,0.366667,0.061224,0.171429,0.56,0.32,0.55,0.384615,0.387097,0.222222,0.590909,0.571429,0.208333,0,0.927811,0.755814,0.308773,0.045479,0.857895,0.4442,0.700944,0.36891,0.390924,0.554315,0.390924,0.708874,Jogging
0.176471,0.428571,0.357143,0.346154,0.333333,0.318182,0.521739,0.259259,0.375,0.384615,0.272727,0.322581,0.375,0.347826,0.346154,0.4,0.631579,0.576923,0.3,0.020408,0.314286,0.36,0.48,0.6,0.346154,0.258065,0.259259,0.5,0.714286,0.166667,0,0.973161,0.722384,0.444737,0.038156,0.852632,0.480176,0.674711,0.399072,0.434713,0.543147,0.434713,0.768033,Jogging
0.196078,0.428571,0.392857,0.346154,0.222222,0.454545,0.565217,0.407407,0.34375,0.282051,0.454545,0.322581,0.458333,0.347826,0.307692,0.48,0.631579,0.307692,0.233333,0.020408,0.2,0.4,0.52,0.4,0.461538,0.290323,0.407407,0.409091,0.52381,0.25,0,0.907913,0.761628,0.157895,0.053282,0.894737,0.472834,0.711438,0.381671,0.41242,0.551269,0.41242,0.707317,Jogging
0.156863,0.321429,0.285714,0.423077,0.703704,0.363636,0.521739,0.222222,0.25,0.282051,0.333333,0.16129,0.208333,0.478261,0.653846,0.4,0.578947,0.384615,0.333333,0.040816,0.228571,0.44,0.44,0.8,0.5,0.193548,0.37037,0.272727,0.52381,0.145833,0,0.943545,0.6875,0.152632,0.048884,0.213158,0.388399,0.589717,0.358469,0.35828,0.511675,0.35828,0.697457,Jogging
0.137255,0.607143,1,0.769231,0.296296,0.181818,0.347826,0.185185,0.125,0.051282,0.151515,0.193548,0.375,0.434783,0.923077,0.28,0.473684,0.384615,0.366667,0.081633,0.171429,0.36,0.72,0.85,0.461538,0.225806,0.259259,0.545455,0.380952,0.125,0,0.924109,0.598837,0.068421,0.047226,0.089474,0.218796,0.542497,0.25406,0.118631,0.429442,0.118631,0.590555,Jogging
0.215686,0.25,0.428571,0.423077,0.37037,0.636364,0.478261,0.407407,0.25,0.179487,0.30303,0.387097,0.458333,0.391304,0.307692,0.28,0.473684,0.346154,0.433333,0.163265,0.314286,0.48,0.44,0.55,0.346154,0.387097,0.259259,0.363636,0.52381,0.229167,0,0.893105,0.62936,0.073684,0.044932,0.226316,0.353891,0.739769,0.321346,0.261146,0.569543,0.261146,0.639855,Jogging
0.215686,0.392857,0.392857,0.5,0.296296,0.227273,0.478261,0.481481,0.21875,0.282051,0.333333,0.387097,0.333333,0.521739,0.115385,0.36,0.684211,0.307692,0.4,0.142857,0.257143,0.56,0.48,0.55,0.423077,0.322581,0.296296,0.318182,0.52381,0.208333,0,0.894956,0.62064,0.784211,0.064415,0.155263,0.36417,0.749213,0.310905,0.284236,0.572589,0.284236,0.649715,Jogging
0.27451,0.321429,0.5,0.346154,0.222222,0.409091,0.26087,0.444444,0.28125,0.358974,0.30303,0.419355,0.541667,0.391304,0.230769,0.28,0.473684,0.346154,0.466667,0.081633,0.4,0.56,0.44,0.3,0.307692,0.258065,0.296296,0.5,0.619048,0.166667,0,0.87043,0.572674,0.936842,0.052852,0.468421,0.39721,0.760756,0.354988,0.330414,0.582741,0.330414,0.648677,Jogging
0.176471,0.178571,0.357143,0.538462,0.296296,0.454545,0.434783,0.481481,0.21875,0.384615,0.30303,0.225806,0.375,0.565217,0.423077,0.44,0.526316,0.307692,0.4,0.081633,0.428571,0.48,0.24,0.4,0.269231,0.290323,0.555556,0.545455,0.380952,0.229167,0,0.898658,0.597384,0.301754,0.067215,0.528069,0.403818,0.656873,0.349188,0.327229,0.514721,0.327229,0.658018,Jogging
0.117647,0.607143,0.285714,0.384615,0.444444,0.545455,0.304348,0.407407,0.3125,0.25641,0.363636,0.451613,0.25,0.434783,0.346154,0.48,0.421053,0.384615,0.333333,0.102041,0.285714,0.4,0.4,0.55,0.346154,0.193548,0.444444,0.545455,0.428571,0.229167,0,0.867654,0.667151,0.269474,0.074692,0.294737,0.356094,0.727177,0.324826,0.275478,0.568528,0.275478,0.62273,Jogging
0.137255,0.5,0.392857,0.5,0.296296,0.409091,0.478261,0.333333,0.28125,0.282051,0.424242,0.290323,0.375,0.304348,0.423077,0.32,0.473684,0.346154,0.466667,0.122449,0.285714,0.32,0.44,0.5,0.384615,0.290323,0.444444,0.363636,0.571429,0.229167,0,0.87876,0.651163,0.031579,0.070035,0.286842,0.364905,0.759706,0.316705,0.284236,0.598985,0.284236,0.645563,Jogging
0.235294,0.464286,0.321429,0.384615,0.259259,0.318182,0.695652,0.407407,0.3125,0.230769,0.363636,0.451613,0.375,0.521739,0.384615,0.28,0.578947,0.384615,0.2,0.102041,0.485714,0.2,0.4,0.45,0.384615,0.354839,0.407407,0.545455,0.47619,0.166667,0,0.840814,0.59593,0.205263,0.088288,0.378947,0.356828,0.699895,0.321346,0.272293,0.525888,0.272293,0.592631,Jogging
0.235294,0.321429,0.321429,0.307692,0.407407,0.454545,0.434783,0.37037,0.40625,0.25641,0.30303,0.387097,0.541667,0.434783,0.423077,0.28,0.368421,0.384615,0.3,0.102041,0.285714,0.32,0.32,0.45,0.461538,0.322581,0.481481,0.636364,0.52381,0.1875,0,0.862101,0.665698,0.536842,0.072071,0.405263,0.385463,0.699895,0.291183,0.298567,0.535025,0.298567,0.608199,Jogging
0.176471,0.392857,0.25,0.307692,0.407407,0.5,0.478261,0.333333,0.375,0.307692,0.30303,0.322581,0.5,0.434783,0.230769,0.52,0.578947,0.384615,0.233333,0.081633,0.257143,0.4,0.44,0.55,0.423077,0.322581,0.333333,0.454545,0.380952,0.3125,0,0.885701,0.686047,0.989474,0.066216,0.315789,0.397944,0.712487,0.322506,0.318471,0.546193,0.318471,0.64193,Jogging
0.196078,0.321429,0.178571,0.461538,0.444444,0.409091,0.391304,0.333333,0.4375,0.333333,0.333333,0.225806,0.458333,0.478261,0.307692,0.4,0.684211,0.5,0.366667,0.061224,0.2,0.4,0.36,0.45,0.384615,0.387097,0.444444,0.545455,0.47619,0.208333,0,0.893568,0.700581,0.096491,0.087122,0.673684,0.407489,0.677859,0.294664,0.324045,0.513706,0.324045,0.641412,Jogging
0.215686,0.285714,0.214286,0.192308,0.37037,0.636364,0.565217,0.407407,0.34375,0.358974,0.242424,0.354839,0.375,0.391304,0.346154,0.44,0.578947,0.461538,0.4,0.102041,0.257143,0.36,0.44,0.6,0.269231,0.387097,0.555556,0.454545,0.428571,0.1875,0,0.904674,0.645349,0.282457,0.069779,0.542105,0.420705,0.674711,0.278422,0.330414,0.51066,0.330414,0.650234,Jogging
0.254902,0.285714,0.142857,0.153846,0.481481,0.590909,0.434783,0.333333,0.46875,0.333333,0.363636,0.322581,0.458333,0.347826,0.384615,0.4,0.631579,0.384615,0.233333,0.081633,0.2,0.36,0.48,0.5,0.423077,0.387097,0.296296,0.318182,0.571429,0.291667,0,0.874132,0.686047,0.210526,0.075161,0.510526,0.420705,0.703043,0.299304,0.330414,0.544162,0.330414,0.640893,Jogging
0.215686,0.285714,0.25,0.153846,0.481481,0.681818,0.478261,0.518519,0.40625,0.179487,0.30303,0.258065,0.541667,0.434783,0.461538,0.4,0.526316,0.461538,0.266667,0.081633,0.314286,0.4,0.2,0.3,0.576923,0.322581,0.444444,0.409091,0.761905,0.1875,0,0.87876,0.664244,0.209023,0.098569,0.842105,0.387665,0.664218,0.313225,0.285828,0.500508,0.285828,0.6274,Jogging
0.019608,0.142857,0.25,0.269231,0.259259,0.181818,0.217391,0.148148,0.09375,0.076923,0.090909,0.064516,0.208333,0.304348,0.307692,0.2,0.315789,0.230769,0.066667,0.020408,0.085714,0.16,0.24,0.25,0.230769,0.129032,0.222222,0.136364,0.095238,0.125,0,0.663119,0.640988,0.081579,0.086486,0.263158,0.135095,0.299056,0.118329,0.214968,0.519797,0.214968,0.243902,Jogging
0.078431,0.428571,0.392857,0.269231,0.518519,0.545455,0.434783,0.37037,0.53125,0.128205,0.212121,0.290323,0.458333,0.478261,0.192308,0.6,0.736842,0.538462,0.266667,0,0.2,0.36,0.28,0.6,0.384615,0.419355,0.37037,0.636364,0.380952,0.25,0,0.868117,0.699128,0.115789,0.101351,0.763158,0.756975,0.758657,0.479118,0.757962,0.572589,0.757962,0.831863,Jogging
0.196078,0.392857,0.428571,0.269231,0.592593,0.318182,0.478261,0.37037,0.1875,0.205128,0.30303,0.322581,0.458333,0.608696,0.346154,0.48,0.473684,0.269231,0.266667,0,0.171429,0.32,0.36,0.7,0.384615,0.451613,0.518519,0.545455,0.52381,0.104167,0,0.802406,0.581395,0.068112,0.088394,0.578947,0.751101,0.773347,0.37471,0.758758,0.610152,0.758758,0.782045,Jogging
0.196078,0.5,0.214286,0.269231,0.555556,0.454545,0.652174,0.444444,0.15625,0.102564,0.545455,0.354839,0.416667,0.434783,0.115385,0.4,0.736842,0.346154,0.1,0,0.314286,0.36,0.36,0.25,0.423077,0.258065,0.444444,0.681818,0.52381,0.208333,0,0.788061,0.627907,0.095438,0.153317,0.22,0.779001,0.818468,0.451276,0.76035,0.629442,0.76035,0.802802,Jogging
0.215686,0.357143,0.464286,0.423077,0.259259,0.318182,0.434783,0.37037,0.375,0.179487,0.30303,0.387097,0.458333,0.434783,0.307692,0.28,0.578947,0.461538,0.2,0,0.342857,0.44,0.44,0.55,0.230769,0.193548,0.444444,0.272727,0.571429,0.3125,0,0.846367,0.667151,0.086686,0.133055,0.275438,0.817181,0.852046,0.558005,0.825637,0.643655,0.825637,0.880125,Jogging
0.215686,0.678571,0.357143,0.076923,0.296296,0.409091,0.521739,0.259259,0.28125,0.230769,0.393939,0.225806,0.333333,0.565217,0.269231,0.32,0.526316,0.461538,0.133333,0,0.228571,0.44,0.28,0.6,0.423077,0.548387,0.37037,0.318182,0.47619,0.166667,0,0.871819,0.59593,0.088817,0.132973,0.089474,0.850954,0.856243,0.450116,0.838376,0.649746,0.838376,0.888947,Jogging
0.196078,0.464286,0.285714,0.307692,0.444444,0.454545,0.478261,0.222222,0.28125,0.153846,0.30303,0.290323,0.333333,0.434783,0.423077,0.4,0.473684,0.538462,0.333333,0,0.371429,0.28,0.32,0.65,0.346154,0.354839,0.333333,0.590909,0.52381,0.166667,0,0.877834,0.565407,0.066482,0.07909,0.482457,0.784875,0.833158,0.450116,0.792197,0.633503,0.792197,0.855215,Jogging
0.215686,0.571429,0.214286,0.423077,0.222222,0.5,0.26087,0.37037,0.34375,0.230769,0.393939,0.354839,0.375,0.608696,0.384615,0.28,0.315789,0.307692,0.333333,0,0.314286,0.28,0.48,0.55,0.153846,0.322581,0.555556,0.590909,0.428571,0.208333,0,0.819065,0.613372,0.063659,0.075161,0.475438,0.823789,0.850997,0.486079,0.832803,0.658883,0.832803,0.85781,Jogging
0.196078,0.428571,0.357143,0.5,0.222222,0.272727,0.347826,0.518519,0.28125,0.333333,0.454545,0.354839,0.208333,0.434783,0.384615,0.2,0.315789,0.5,0.366667,0,0.4,0.16,0.48,0.45,0.461538,0.129032,0.222222,0.681818,0.47619,0.333333,0,0.860713,0.709302,0.127126,0.204203,0.747368,0.806167,0.92235,0.574246,0.817675,0.71066,0.817675,0.905553,Jogging
0.215686,0.464286,0.464286,0.5,0.222222,0.454545,0.347826,0.37037,0.28125,0.179487,0.393939,0.290323,0.458333,0.478261,0.269231,0.24,0.526316,0.384615,0.3,0,0.371429,0.44,0.48,0.5,0.423077,0.225806,0.37037,0.454545,0.380952,0.229167,0,0.848218,0.542151,0.089474,0.201801,0.563158,0.751836,0.880378,0.484919,0.768312,0.674112,0.768312,0.851064,Jogging
0.215686,0.357143,0.535714,0.346154,0.259259,0.409091,0.478261,0.37037,0.34375,0.25641,0.333333,0.419355,0.416667,0.26087,0.538462,0.2,0.684211,0.346154,0.266667,0,0.342857,0.4,0.44,0.5,0.423077,0.258065,0.333333,0.454545,0.571429,0.229167,0,0.832948,0.59157,0.067589,0.128186,0.145615,0.784875,0.8468,0.483759,0.79379,0.640609,0.79379,0.84328,Jogging
0.294118,0.428571,0.25,0.423077,0.37037,0.318182,0.608696,0.222222,0.28125,0.153846,0.30303,0.290323,0.666667,0.304348,0.461538,0.16,0.631579,0.384615,0.4,0,0.457143,0.44,0.52,0.5,0.346154,0.322581,0.296296,0.545455,0.333333,0.145833,0,0.848681,0.420058,0.082973,0.106757,0.610526,0.793686,0.850997,0.443155,0.799363,0.638579,0.799363,0.845874,Jogging
0.235294,0.285714,0.321429,0.5,0.407407,0.772727,0.26087,0.185185,0.3125,0.128205,0.393939,0.290323,0.458333,0.347826,0.423077,0.4,0.578947,0.269231,0.433333,0,0.314286,0.32,0.48,0.4,0.423077,0.387097,0.518519,0.454545,0.47619,0.145833,0,0.817677,0.536337,0.052175,0.101351,0.678947,0.709985,0.814271,0.403712,0.722134,0.637563,0.722134,0.784639,Jogging
0.117647,0.392857,0.178571,0.653846,0.481481,0.409091,0.565217,0.518519,0.28125,0.102564,0.30303,0.322581,0.5,0.478261,0.307692,0.44,0.315789,0.615385,0.333333,0,0.228571,0.24,0.44,0.55,0.461538,0.258065,0.37037,0.545455,0.761905,0.166667,0,0.840352,0.648256,0.129187,0.142342,0.305263,0.694567,0.827912,0.445476,0.700637,0.635533,0.700637,0.792423,Jogging
0.156863,0.285714,0.392857,0.346154,0.518519,0.363636,0.347826,0.518519,0.4375,0.076923,0.242424,0.290323,0.5,0.521739,0.269231,0.52,0.578947,0.346154,0.366667,0,0.342857,0.4,0.4,0.6,0.307692,0.290323,0.259259,0.454545,0.52381,0.270833,0,0.854234,0.623547,0.081114,0.084781,0.342105,0.767988,0.793284,0.517401,0.781051,0.60203,0.781051,0.841723,Jogging
0.254902,0.214286,0.392857,0.5,0.407407,0.409091,0.478261,0.259259,0.375,0.205128,0.272727,0.387097,0.375,0.347826,0.5,0.32,0.473684,0.346154,0.4,0,0.314286,0.24,0.44,0.55,0.5,0.290323,0.296296,0.727273,0.238095,0.229167,0,0.856548,0.56686,0.054135,0.09392,0.591227,0.754772,0.837356,0.435035,0.770701,0.64467,0.770701,0.841204,Jogging
0.176471,0.285714,0.392857,0.423077,0.37037,0.454545,0.391304,0.407407,0.4375,0.128205,0.242424,0.354839,0.458333,0.434783,0.461538,0.16,0.684211,0.5,0.266667,0,0.228571,0.6,0.44,0.45,0.384615,0.354839,0.37037,0.454545,0.428571,0.208333,0,0.867654,0.555233,0.082973,0.09069,0.305263,0.787078,0.838405,0.436195,0.796975,0.62132,0.796975,0.845874,Jogging
0.215686,0.321429,0.464286,0.346154,0.444444,0.363636,0.478261,0.37037,0.3125,0.153846,0.454545,0.322581,0.458333,0.434783,0.384615,0.44,0.421053,0.423077,0.1,0,0.371429,0.44,0.32,0.35,0.307692,0.225806,0.407407,0.636364,0.47619,0.291667,0,0.773716,0.665698,0.085526,0.16973,0.631579,0.776799,0.778594,0.527842,0.785032,0.615228,0.785032,0.818889,Jogging
0.254902,0.142857,0.5,0.230769,0.37037,0.636364,0.521739,0.222222,0.4375,0.179487,0.30303,0.419355,0.333333,0.391304,0.384615,0.32,0.473684,0.423077,0.233333,0,0.371429,0.68,0.28,0.35,0.307692,0.290323,0.333333,0.590909,0.47619,0.1875,0,0.850532,0.540698,0.068947,0.07619,0.405263,0.806902,0.865687,0.477958,0.805732,0.66599,0.805732,0.866113,Jogging
0.215686,0.321429,0.642857,0.192308,0.222222,0.727273,0.391304,0.222222,0.28125,0.230769,0.333333,0.258065,0.541667,0.478261,0.384615,0.28,0.631579,0.461538,0.166667,0,0.314286,0.48,0.32,0.55,0.615385,0.193548,0.333333,0.363636,0.571429,0.1875,0,0.82832,0.540698,0.098246,0.132225,0.331579,0.773862,0.812172,0.446636,0.773885,0.614213,0.773885,0.825117,Jogging
0.254902,0.25,0.464286,0.423077,0.222222,0.5,0.434783,0.333333,0.40625,0.102564,0.272727,0.258065,0.333333,0.652174,0.461538,0.44,0.684211,0.192308,0.366667,0,0.114286,0.6,0.36,0.55,0.461538,0.451613,0.296296,0.318182,0.428571,0.291667,0,0.82323,0.604651,0.084211,0.111198,0.831579,0.788546,0.743966,0.429234,0.799363,0.573604,0.799363,0.815776,Jogging
0.254902,0.285714,0.285714,0.461538,0.333333,0.454545,0.347826,0.555556,0.28125,0.128205,0.181818,0.419355,0.25,0.304348,0.423077,0.44,0.789474,0.346154,0.266667,0,0.342857,0.44,0.48,0.45,0.538462,0.451613,0.185185,0.227273,0.428571,0.229167,0,0.898195,0.515988,0.111741,0.093243,0.352632,0.797357,0.804827,0.439675,0.808121,0.604061,0.808121,0.874416,Jogging
0.196078,0.285714,0.285714,0.538462,0.333333,0.318182,0.608696,0.555556,0.28125,0.179487,0.151515,0.354839,0.5,0.347826,0.576923,0.6,0.421053,0.384615,0.2,0,0.285714,0.52,0.32,0.55,0.461538,0.258065,0.407407,0.318182,0.380952,0.3125,0,0.834799,0.619186,0.082238,0.082432,0.105263,0.773862,0.748164,0.489559,0.785828,0.566497,0.785828,0.828749,Jogging
0.176471,0.392857,0.357143,0.230769,0.407407,0.727273,0.347826,0.444444,0.34375,0.179487,0.212121,0.258065,0.458333,0.695652,0.5,0.32,0.578947,0.423077,0.166667,0,0.228571,0.56,0.44,0.45,0.230769,0.451613,0.333333,0.363636,0.666667,0.1875,0,0.832485,0.614826,0.112552,0.113152,0.731579,0.781204,0.774397,0.447796,0.769904,0.584772,0.769904,0.810586,Jogging
0.098039,0.428571,0.321429,0.461538,0.481481,0.5,0.391304,0.444444,0.3125,0.230769,0.181818,0.225806,0.5,0.304348,0.576923,0.64,0.526316,0.269231,0.366667,0,0.114286,0.4,0.44,0.5,0.5,0.580645,0.481481,0.318182,0.52381,0.125,0,0.857011,0.568314,0.09408,0.09984,0.556141,0.727606,0.733473,0.335267,0.738057,0.560406,0.738057,0.781526,Jogging
0.156863,0.25,0.285714,0.461538,0.592593,0.545455,0.478261,0.444444,0.1875,0.179487,0.242424,0.419355,0.333333,0.391304,0.5,0.44,0.473684,0.384615,0.333333,0,0.257143,0.44,0.52,0.6,0.307692,0.322581,0.518519,0.272727,0.428571,0.208333,0,0.849607,0.549419,0.086067,0.097933,0.163158,0.734949,0.792235,0.414153,0.742038,0.6,0.742038,0.808511,Jogging
0.098039,0.178571,0.142857,0.461538,0.259259,0.409091,0.347826,0.296296,0.1875,0.076923,0.151515,0.225806,0.333333,0.26087,0.269231,0.24,0.263158,0.192308,0.3,0,0.085714,0.24,0.24,0.6,0.269231,0.225806,0.259259,0.227273,0.428571,0.083333,0,0.723276,0.611919,0.092105,0.093693,0.296491,0.446402,0.504722,0.24826,0.697452,0.673096,0.697452,0.498184,Jogging
0.176471,0.321429,0.464286,0.346154,0.518519,0.5,0.434783,0.37037,0.3125,0.179487,0.393939,0.354839,0.416667,0.304348,0.307692,0.48,0.631579,0.384615,0.366667,0,0.2,0.36,0.48,0.35,0.461538,0.387097,0.444444,0.5,0.619048,0.166667,0,0.830171,0.632267,0.109023,0.091291,0.339474,0.704846,0.81532,0.415313,0.715764,0.627411,0.715764,0.790867,Jogging
0.235294,0.5,0.357143,0.192308,0.296296,0.590909,0.521739,0.259259,0.21875,0.230769,0.30303,0.419355,0.458333,0.304348,0.307692,0.48,0.631579,0.230769,0.266667,0,0.257143,0.24,0.48,0.55,0.423077,0.387097,0.296296,0.590909,0.571429,0.145833,0,0.831097,0.59157,0.111278,0.092664,0.338596,0.778267,0.814271,0.407193,0.774682,0.629442,0.774682,0.821484,Jogging
0.156863,0.428571,0.535714,0.230769,0.222222,0.636364,0.478261,0.259259,0.3125,0.230769,0.333333,0.516129,0.5,0.304348,0.461538,0.2,0.684211,0.307692,0.233333,0,0.171429,0.28,0.48,0.7,0.269231,0.419355,0.296296,0.636364,0.666667,0.1875,0,0.778343,0.672965,0.091448,0.164324,0.668421,0.745962,0.803778,0.433875,0.756369,0.620305,0.756369,0.791386,Jogging
0.215686,0.571429,0.357143,0.307692,0.296296,0.363636,0.304348,0.222222,0.5,0.282051,0.181818,0.451613,0.458333,0.347826,0.384615,0.32,0.526316,0.346154,0.433333,0,0.342857,0.44,0.4,0.5,0.346154,0.322581,0.481481,0.409091,0.52381,0.166667,0,0.859324,0.565407,0.101754,0.192192,0.366667,0.784141,0.840504,0.455916,0.797771,0.630457,0.797771,0.84795,Jogging
0.215686,0.571429,0.428571,0.269231,0.185185,0.545455,0.608696,0.111111,0.3125,0.230769,0.272727,0.419355,0.416667,0.391304,0.346154,0.28,0.736842,0.5,0.166667,0,0.342857,0.28,0.32,0.7,0.423077,0.322581,0.37037,0.363636,0.619048,0.208333,0,0.839426,0.598837,0.092764,0.102703,0.305263,0.744493,0.820567,0.437355,0.744427,0.622335,0.744427,0.817852,Jogging
0.215686,0.285714,0.357143,0.384615,0.444444,0.545455,0.347826,0.333333,0.28125,0.25641,0.30303,0.419355,0.333333,0.565217,0.346154,0.36,0.578947,0.384615,0.3,0,0.257143,0.24,0.36,0.4,0.269231,0.516129,0.444444,0.590909,0.619048,0.1875,0,0.830171,0.667151,0.107693,0.081366,0.647368,0.750367,0.810073,0.417633,0.758758,0.613198,0.758758,0.798132,Jogging
0.176471,0.464286,0.464286,0.230769,0.37037,0.409091,0.391304,0.592593,0.3125,0.153846,0.090909,0.645161,0.666667,0.478261,0.269231,0.32,0.368421,0.346154,0.366667,0,0.257143,0.24,0.36,0.35,0.5,0.322581,0.444444,0.409091,0.714286,0.270833,0,0.800555,0.752907,0.081579,0.100179,0.454385,0.73862,0.795383,0.49884,0.741242,0.601015,0.741242,0.792423,Jogging
0.215686,0.5,0.285714,0.384615,0.185185,0.363636,0.347826,0.296296,0.59375,0.205128,0.30303,0.225806,0.541667,0.391304,0.5,0.32,0.368421,0.384615,0.1,0,0.428571,0.52,0.28,0.65,0.307692,0.225806,0.481481,0.272727,0.47619,0.229167,0,0.858862,0.530523,0.103008,0.125226,0.433333,0.807636,0.8468,0.467517,0.818471,0.64264,0.818471,0.858848,Jogging
0.215686,0.428571,0.357143,0.423077,0.407407,0.363636,0.434783,0.407407,0.34375,0.179487,0.424242,0.322581,0.5,0.391304,0.384615,0.28,0.421053,0.269231,0.266667,0,0.542857,0.52,0.48,0.45,0.230769,0.290323,0.333333,0.5,0.47619,0.104167,0,0.824618,0.411337,0.086686,0.165111,0.531579,0.726872,0.855194,0.425754,0.738854,0.649746,0.738854,0.806435,Jogging
